condition,engine,workload,size,trial,wall_sec,throughput_MBps,peak_mem_mb,peak_cpu_pct,ok,notes
high_ram,mapreduce,W1,S,1,27.346,3.6569,4159.7,321.0,true,oom_warning_but_exit0
high_ram,mapreduce,W1,S,2,26.605,3.7587,4168.3,294.0,true,oom_warning_but_exit0
high_ram,mapreduce,W1,S,3,26.471,3.7777,4197.6,386.3,true,oom_warning_but_exit0
high_ram,spark,W1,S,1,6.923,14.4453,3882.9,209.4,true,
high_ram,spark,W1,S,2,6.326,15.8084,3614.5,215.7,true,
high_ram,spark,W1,S,3,6.320,15.8226,3632.7,216.3,true,
high_ram,mapreduce,W1,M,1,87.960,11.6417,6122.0,412.4,true,
high_ram,mapreduce,W1,M,2,89.921,11.3877,6124.4,405.0,true,oom_warning_but_exit0
high_ram,mapreduce,W1,M,3,92.901,11.0224,6346.2,478.1,true,
high_ram,spark,W1,M,1,20.637,49.6201,4183.7,407.5,true,
high_ram,spark,W1,M,2,20.860,49.0894,4032.7,403.6,true,
high_ram,spark,W1,M,3,20.810,49.2077,4034.8,478.5,true,
high_ram,mapreduce,W1,L,1,476.678,10.7410,17885.1,545.0,true,oom_warning_but_exit0
high_ram,mapreduce,W1,L,2,442.251,11.5771,18691.6,541.5,true,oom_warning_but_exit0
high_ram,mapreduce,W1,L,3,401.143,12.7635,18855.0,518.4,true,oom_warning_but_exit0
high_ram,spark,W1,L,1,91.493,55.9608,7408.4,507.7,true,
high_ram,spark,W1,L,2,91.967,55.6718,7099.5,416.7,true,
high_ram,spark,W1,L,3,91.577,55.9095,7107.9,484.7,true,
