condition,engine,workload,size,trial,wall_sec,throughput_MBps,peak_mem_mb,peak_cpu_pct,ok,notes
low_ram,mapreduce,W3,S,1,211.367,0.2266,3672.7,431.5,true,
low_ram,mapreduce,W3,S,2,211.958,0.2260,3715.3,379.7,true,
low_ram,mapreduce,W3,S,3,211.324,0.2266,3743.5,536.6,true,
low_ram,mapreduce,W3,M,1,1338.377,0.4149,4550.7,453.5,true,
low_ram,mapreduce,W3,M,2,1297.290,0.4280,4544.6,426.8,false,exit=5|Streaming Command Failed! 
low_ram,mapreduce,W3,M,3,1267.131,0.4382,4516.1,458.5,true,
low_ram,mapreduce,W3,L,1,6194.080,0.4893,4317.3,521.6,true,"stats_err:Command '['docker', 'stats', '--no-stream', '--format', '{{.Name}},{{.CPUPerc}},{{.MemUsage}}', 'hs-namenode', 'hs-datanode', 'hs-resourcemanager', 'hs-nodemanager', 'hs-spark']' timed out after 15 seconds"
low_ram,mapreduce,W3,L,2,7073.952,0.4284,3992.6,530.1,true,"stats_err:Command '['docker', 'stats', '--no-stream', '--format', '{{.Name}},{{.CPUPerc}},{{.MemUsage}}', 'hs-namenode', 'hs-datanode', 'hs-resourcemanager', 'hs-nodemanager', 'hs-spark']' timed out after 15 seconds"
low_ram,mapreduce,W3,L,3,6045.894,0.5013,4009.2,597.6,false,"exit=5|Streaming Command Failed! |stats_err:Command '['docker', 'stats', '--no-stream', '--format', '{{.Name}},{{.CPUPerc}},{{.MemUsage}}', 'hs-namenode', 'hs-datanode', 'hs-resourcemanager', 'hs-nodemanager', 'hs-spark']' timed out after 15 seconds"
low_ram,spark,W3,S,1,141.807,0.3378,3076.1,457.4,true,
low_ram,spark,W3,S,2,132.926,0.3603,3103.0,454.8,true,
low_ram,spark,W3,S,3,130.786,0.3662,3243.3,470.5,true,
low_ram,spark,W3,M,1,1459.187,0.3805,3610.6,586.4,true,
low_ram,spark,W3,M,2,960.623,0.5780,4143.9,588.0,false,exit=137|) / 55]  [Stage 19:==========================================>             (42 + 4) / 55]  [Stage 19:============================================>           (44 + 4) / 55]  [Stage 19:================================================>       (48 + 4) / 55]  [Stage 19:====================================================>   (52 + 3) / 55]  [Stage 20:>                                                        (0 + 4) / 60]  [Stage 20:>                                                        (0 + 4) / 60] 
low_ram,spark,W3,M,3,796.054,0.6975,4065.6,593.9,false,exit=1|OOM_or_killed|box.safelyCall(Inbox.scala:213) 	at org.apache.spark.rpc.netty.Inbox.process(Inbox.scala:100) 	at org.apache.spark.rpc.netty.MessageLoop.org$apache$spark$rpc$netty$MessageLoop$$receiveLoop(MessageLoop.scala:75) 	at org.apache.spark.rpc.netty.MessageLoop$$anon$1.run(MessageLoop.scala:41) 	at java.base/java.util.concurrent.ThreadPoolExecutor.runWorker(Unknown Source) 	at java.base/java.util.concurrent.ThreadPoolExecutor$Worker.run(Unknown Source) 	at java.base/java.lang.Thread.run(Unknown Source) 
low_ram,spark,W3,L,1,1250.967,2.4226,4056.5,590.5,false,exit=137|) / 72]  [Stage 8:======>                                                   (8 + 4) / 72]  [Stage 8:======>                                                   (8 + 4) / 72]  [Stage 8:=======>                                                  (9 + 4) / 72]  [Stage 8:=======>                                                 (10 + 4) / 72]  [Stage 8:========>                                                (11 + 4) / 72]  [Stage 8:=========>                                               (12 + 4) / 72] 
low_ram,spark,W3,L,2,2375.758,1.2756,4113.9,581.6,false,exit=137| / 120]  [Stage 11:===================================================>  (115 + 4) / 120]  [Stage 11:====================================================> (117 + 3) / 120]  [Stage 11:=====================================================>(118 + 2) / 120]  [Stage 11:=====================================================>(119 + 1) / 120]  [Stage 12:>                                                       (0 + 4) / 144]  [Stage 12:>                                                       (0 + 4) / 144] 
low_ram,spark,W3,L,3,1517.128,1.9976,4103.6,590.1,false,exit=137|) / 72]  [Stage 8:=========>                                               (12 + 4) / 72]  [Stage 8:=========>                                               (12 + 4) / 72]  [Stage 8:==========>                                              (13 + 4) / 72]  [Stage 8:===========>                                             (14 + 4) / 72]  [Stage 8:===========>                                             (15 + 4) / 72]  [Stage 8:============>                                            (16 + 4) / 72] 
low_ram,mapreduce,W3,M,1,1341.531,0.4139,3256.4,469.8,true,"stats_err:Command '['docker', 'stats', '--no-stream', '--format', '{{.Name}},{{.CPUPerc}},{{.MemUsage}}', 'hs-namenode', 'hs-datanode', 'hs-resourcemanager', 'hs-nodemanager', 'hs-spark']' timed out after 15 seconds"
low_ram,mapreduce,W3,L,1,2020.026,1.5003,3469.2,538.3,false,exit=5|Streaming Command Failed! 
