condition,engine,workload,size,trial,wall_sec,throughput_MBps,peak_mem_mb,peak_cpu_pct,ok,notes
low_ram,mapreduce,W1,S,1,32.730,3.0553,2484.1,321.8,true,oom_warning_but_exit0
low_ram,mapreduce,W1,S,2,24.480,4.0849,2516.8,322.0,true,oom_warning_but_exit0
low_ram,mapreduce,W1,S,3,27.461,3.6415,2509.1,273.8,true,oom_warning_but_exit0
low_ram,spark,W1,S,1,6.652,15.0327,2012.1,210.3,true,
low_ram,spark,W1,S,2,6.399,15.6270,1957.3,218.8,true,
low_ram,spark,W1,S,3,6.537,15.2980,1974.8,210.2,true,
low_ram,mapreduce,W1,M,1,107.820,9.4973,2553.4,343.8,true,oom_warning_but_exit0
low_ram,mapreduce,W1,M,2,115.361,8.8765,2550.2,405.5,true,oom_warning_but_exit0
low_ram,mapreduce,W1,M,3,113.275,9.0400,2570.1,337.6,true,oom_warning_but_exit0
low_ram,spark,W1,M,1,20.924,48.9397,2071.1,405.6,true,
low_ram,spark,W1,M,2,21.125,48.4726,2137.6,480.5,true,
low_ram,spark,W1,M,3,21.746,47.0885,2145.6,412.2,true,
low_ram,mapreduce,W1,L,1,627.538,8.1589,4251.2,352.7,true,oom_warning_but_exit0
low_ram,mapreduce,W1,L,2,605.569,8.4549,4128.9,442.8,true,oom_warning_but_exit0
low_ram,mapreduce,W1,L,3,613.680,8.3431,4532.4,351.8,true,oom_warning_but_exit0
low_ram,spark,W1,L,1,91.762,55.7965,3211.4,417.8,true,
low_ram,spark,W1,L,2,90.967,56.2844,3178.3,485.9,true,
low_ram,spark,W1,L,3,91.294,56.0828,3289.7,407.1,true,
