condition,engine,workload,size,trial,wall_sec,throughput_MBps,peak_mem_mb,peak_cpu_pct,ok,notes
low_ram,mapreduce,W2,S,1,73.940,1.3524,3164.8,347.6,true,
low_ram,mapreduce,W2,S,2,70.493,1.4186,3190.8,520.3,true,
low_ram,mapreduce,W2,S,3,70.481,1.4188,3242.4,380.5,true,
low_ram,spark,W2,S,1,24.413,4.0961,2591.8,388.9,true,
low_ram,spark,W2,S,2,23.380,4.2772,2626.9,305.1,true,
low_ram,spark,W2,S,3,23.027,4.3426,2646.4,266.8,true,
low_ram,mapreduce,W2,M,1,368.679,2.7775,3461.2,385.8,true,
low_ram,mapreduce,W2,M,2,369.490,2.7714,4082.8,419.7,true,
low_ram,mapreduce,W2,M,3,391.549,2.6153,4210.8,503.5,true,
low_ram,spark,W2,M,1,93.917,10.9032,3523.8,471.6,true,
low_ram,spark,W2,M,2,94.077,10.8847,3486.0,411.2,true,
low_ram,spark,W2,M,3,92.428,11.0790,3478.7,573.5,true,
low_ram,mapreduce,W2,L,1,2042.000,2.5073,4371.2,426.2,true,
low_ram,mapreduce,W2,L,2,1936.656,2.6437,4630.9,514.3,true,"stats_err:Command '['docker', 'stats', '--no-stream', '--format', '{{.Name}},{{.CPUPerc}},{{.MemUsage}}', 'hs-namenode', 'hs-datanode', 'hs-resourcemanager', 'hs-nodemanager', 'hs-spark']' timed out after 15 seconds"
low_ram,mapreduce,W2,L,3,2086.509,2.4539,4346.8,469.1,true,
low_ram,spark,W2,L,1,435.230,11.7639,3284.0,618.2,true,
low_ram,spark,W2,L,2,439.867,11.6399,3233.8,578.2,true,
low_ram,spark,W2,L,3,438.719,11.6703,3349.5,607.6,true,
